Symbol,Name,Sector,Price,Dividend Yield,Price/Earnings,Earnings/Share,Book Value,52 week low,52 week high,Market Cap,EBITDA,Price/Sales,Price/Book,SEC Filings
USB,U.S. Bancorp,Financials,53.13,2.13,16.40,3.24,24.63,37.07,53.64,90.16,0.00,4.55,2.15,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=USB
UDR,UDR Inc,Real Estate,34.97,3.38,32.35,1.08,11.43,32.79,38.61,9.32,0.60421,9.57,3.02,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=UDR
ULTA,Ulta Salon Cosmetics & Fragrance Inc,Consumer Discretionary,270.75,0.00,45.38,5.97,23.30,146.77,278.63,16.85,0.7970900000000001,3.69,11.57,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ULTA
UA,Under Armour,Consumer Discretionary,18.12,,40.27,0.45,4.39,18.05,46.20,7.94,0.57156,1.76,4.28,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=UA
UAA,Under Armour,Consumer Discretionary,20.65,,45.89,0.45,4.39,20.50,47.94,9.05,0.57156,2.00,4.88,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=UAA
UNP,Union Pacific,Industrials,107.30,2.27,21.16,5.07,24.33,73.46,111.38,87.90,9.31,4.42,4.43,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=UNP
UAL,United Continental Holdings,Industrials,72.14,0.00,10.53,6.85,26.55,37.41,76.80,22.89,6.94,0.62,2.69,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=UAL
UNH,United Health Group Inc.,Health Care,160.76,1.54,21.50,7.48,39.58,108.83,164.00,155.94,15.34,0.85,4.11,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=UNH
UPS,United Parcel Service,Industrials,105.10,2.86,18.73,5.61,3.14,94.22,120.44,91.72,10.16,1.53,33.57,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=UPS
URI,"United Rentals, Inc.",Industrials,127.09,,19.70,6.45,19.57,41.90,131.19,10.71,1.72,1.90,6.64,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=URI
UTX,United Technologies,Industrials,108.36,2.41,17.71,6.12,34.39,83.85,112.83,86.90,10.13,1.52,3.15,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=UTX
UHS,"Universal Health Services, Inc.",Health Care,112.75,0.36,15.88,7.10,45.33,99.72,139.77,10.93,1.70,1.15,2.51,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=UHS
UNM,Unum Group,Financials,45.89,1.76,12.04,3.81,40.33,23.99,46.79,10.65,1.56,0.97,1.13,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=UNM
URBN,Urban Outfitters,Consumer Discretionary,26.23,,13.63,1.92,10.73,22.95,40.80,3.05,0.49769,0.86,2.44,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=URBN
VFC,V.F. Corp.,Consumer Discretionary,50.70,3.26,19.25,2.63,11.78,49.65,67.10,20.98,2.01,1.69,4.30,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=VFC
VLO,Valero Energy,Energy,65.42,4.26,13.87,4.72,44.89,46.88,71.40,29.61,5.59,0.40,1.46,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=VLO
VAR,Varian Medical Systems,Health Care,78.60,0.00,22.38,3.51,18.45,73.18,106.69,7.35,0.63228,2.29,4.29,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=VAR
VTR,Ventas Inc,Real Estate,61.72,5.03,37.38,1.65,29.65,46.87,76.80,21.86,1.79,6.30,2.05,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=VTR
VRSN,Verisign Inc.,Information Technology,81.70,0.00,24.48,3.34,-11.13,70.26,91.99,8.54,0.73514,7.43,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=VRSN
VRSK,Verisk Analytics,Industrials,82.15,,23.67,3.47,8.77,64.79,86.00,13.76,1.03,6.02,9.33,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=VRSK
VZ,Verizon Communications,Telecommunications Services,48.28,4.71,15.04,3.21,5.53,46.01,56.95,196.84,42.99,1.57,8.76,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=VZ
VRTX,Vertex Pharmaceuticals Inc,Health Care,86.72,,,-0.46,5.39,71.46,103.73,21.53,0.07246,12.58,16.00,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=VRTX
